seed,draw,R2Y,Q2,r_pcorr,top_overlap
163,random,0.7300130072941656,0.42809603639617255,0.9505479440876712,5
164,matched,0.6874101679022543,0.33193976092803257,0.9744445079111214,8
164,random,0.6812623802333808,0.5085371921783617,0.9761760601881698,6
165,matched,0.7081548078811042,0.45948701244613055,0.9517694962831197,8
165,random,0.6539991998037172,0.3316274330788559,0.9659670825547333,7
166,matched,0.6646618828958897,0.37458073281100324,0.9752784600445537,8
166,random,0.7070771913290902,0.32993886521820515,0.9497735599637699,7
167,matched,0.7119295631752189,0.4185925413687477,0.949928599988576,7
167,random,0.6938384304637043,0.3604739646645394,0.9545536887285903,6
168,matched,0.6574713962277658,0.3815961053207325,0.978265836522534,6
168,random,0.6562202315951178,0.35014854525587535,0.982577581212413,9
169,matched,0.6840082595367748,0.3332581588153315,0.9532154485144719,5
169,random,0.6687135214250288,0.4139925509474245,0.9450986952157914,6
170,matched,0.6902988933180536,0.38883155657065716,0.9740479318476694,9
170,random,0.652404870350211,0.30758818895148554,0.986505805840929,9
171,matched,0.6626681279419108,0.3004574678674593,0.9661286505805843,6
171,random,0.7056635259914997,0.3670656179846977,0.940179030428645,4
172,matched,0.6645467631267123,0.41987118003165436,0.9608009857281578,6
172,random,0.7140865521807551,0.35736122885665533,0.9540844886535184,7
173,matched,0.7216709998805009,0.3883816428702549,0.943148454903753,6
173,random,0.678989114734659,0.3886433181927883,0.982459261193482,9
174,matched,0.7142760414945231,0.3916254903322963,0.9294698447151754,6
174,random,0.6496286583444013,0.29651653377950127,0.9781622045059529,8
175,matched,0.7228806847207534,0.41446984228261285,0.9517988722878199,7
175,random,0.6684233768981742,0.40136530073161336,0.9674187467869996,7
176,matched,0.659774654026626,0.41337909954952234,0.9625774180123869,6
176,random,0.6289146584142669,0.41747104793363254,0.9642330822772933,6
177,matched,0.7043268240448808,0.4132313447520397,0.9321920211507234,6
177,random,0.6659816036152724,0.3184063496597789,0.9585757533721208,7
178,matched,0.6861405994993761,0.42946635563607616,0.9594341855094698,7
178,random,0.6530092462717356,0.2117163998200864,0.9647871463659435,8
179,matched,0.6703372133749912,0.3786391375490885,0.9555402328864375,8
179,random,0.6900811242233911,0.3662198855189749,0.9599670335947253,7
180,matched,0.6621728092337903,0.3942843069403077,0.9759084121453461,7
180,random,0.656326040691255,0.3292062527781907,0.9694383471101358,6
181,matched,0.7261354252527803,0.48145924269922136,0.9486670637867304,5
181,random,0.6789402438390194,0.12743955356315895,0.9643897543023607,8
182,matched,0.6680654334616238,0.41911007744425044,0.9710972753755643,7
182,random,0.6715034341981689,0.4715967733568711,0.976483692237391,7
183,matched,0.7234318752499427,0.37237219094342766,0.9486181037788968,6
183,random,0.6638543868966532,0.4398291357737759,0.9613403618144579,7
184,matched,0.7124648028400482,0.39761227400412547,0.9458975593436096,6
184,random,0.7200598647167237,0.36241380962107805,0.9339782454365195,5
185,matched,0.6492650985761718,0.3370228201363459,0.9674097707855633,6
185,random,0.644916128320953,0.37680811566466743,0.9690719630515141,8
186,matched,0.654737624205971,0.349242776271774,0.9660331785653087,8
186,random,0.701090629077573,0.35915228034422086,0.9455344392855106,6
187,matched,0.7131311541855785,0.3830351110763688,0.9562158809945411,6
187,random,0.711782748402747,0.4476140063839813,0.9482623277219725,6
188,matched,0.674619208098453,0.4651234794355451,0.9720087475213998,9
188,random,0.7124854058122974,0.42654796250679705,0.91914581106333,5
189,matched,0.6751202648314352,0.33175851781862,0.959993961599034,9
189,random,0.6643272087555072,0.48843818278810647,0.968504842960775,6
190,matched,0.6736213567416509,0.35556486152416344,0.9623522019763523,7
190,random,0.6598230186188544,0.36787609646691033,0.9726974516315923,9
191,matched,0.671796175686879,0.37162638543381354,0.9704648752743803,7
191,random,0.6427488238956335,0.29241560464758454,0.969671723147476,6
192,matched,0.7362915375018202,0.4054252383186606,0.9620853699336595,7
192,random,0.6574295416261908,0.33232776558013843,0.9663073546091769,7
193,matched,0.6807370016902583,0.45981631320052807,0.9530294004847042,6
193,random,0.6475702283402167,0.3174547774636878,0.9733290357326458,6
194,matched,0.7065264976118253,0.36941248988108766,0.9469534635125544,7
194,random,0.6405824390249572,0.32586173472088786,0.9621016899362705,5
195,matched,0.6901013168164035,0.4268094777766348,0.9680144268823084,10
195,random,0.6569011661571887,0.3452527153003031,0.9627495940399353,6
196,matched,0.7126090516373635,0.38649451700526305,0.9329027572644412,6
196,random,0.6370496657733904,0.3041758868380269,0.9677084268333485,6
197,matched,0.6800041169743795,0.26560526862762734,0.9741744118679059,6
197,random,0.6327490187438369,0.21446164632335651,0.958981305437009,7
198,matched,0.6805781249574403,0.41602321863288594,0.97320418771267,8
198,random,0.7156935434192473,0.40158677308515167,0.9524516723922676,6
199,matched,0.6990492344205673,0.4003244358147364,0.9645309223249477,8
199,random,0.7082121559114707,0.24867378440778276,0.9336795893887344,6
