ppm,p_corr_unadjusted,p_corr_matched_mean,p_corr_matched_lo95,p_corr_matched_hi95,width95
4.54,0.3224136277772619,0.3464878080716677,0.2634741209800181,0.42729791777276854,0.16382379679275044
4.5,0.11269282787075675,0.1261665828270709,0.01967010968476731,0.2234333630752507,0.20376325339048337
4.46,-0.1484996470636866,-0.13542392848846976,-0.21139496945248867,-0.055219076014804094,0.15617589343768457
4.42,-0.42777397466213757,-0.4806137372596914,-0.5697923798839184,-0.3975190608943753,0.17227331898954312
4.38,-0.13436458342196098,-0.20883004928555238,-0.3242656649182917,-0.08786921273194248,0.2363964521863492
4.34,0.29069375284114274,0.35407579819318274,0.29943905513712116,0.40151659006812634,0.10207753493100519
4.3,0.45745644541115854,0.4993746309146945,0.43232275490964067,0.554953218080478,0.12263046317083737
4.26,0.4277787778045933,0.46489632432674094,0.3993619617068116,0.5264739794872683,0.12711201778045667
4.22,0.3698441932895132,0.4311120121138925,0.36115994067423296,0.5157122242162395,0.15455228354200656
4.18,0.030014277403509353,0.058411201373934844,0.0034902609726470656,0.12723160439791525,0.12374134342526819
4.14,-0.14870419273133992,-0.1784054263682412,-0.28773699273216796,-0.08856314059509697,0.199173852137071
4.1,-0.3229287300536212,-0.4064774369660105,-0.5294680095000075,-0.2867275153779716,0.2427404941220359
4.06,-0.5853367196917268,-0.6177052909012685,-0.7048204402741498,-0.5506573749202192,0.15416306535393065
4.02,0.02387665905456283,0.017200699729919885,-0.07436374770895905,0.10689490032463428,0.18125864803359332
3.98,-0.27250811847560036,-0.3003022506502576,-0.42481203630521525,-0.20791124274216152,0.21690079356305372
3.94,-0.3615025324332354,-0.40189853471096837,-0.49058888106071985,-0.3286066588508486,0.16198222220987124
3.9,-0.22783890075120453,-0.2284568698915254,-0.3221406949350726,-0.13712845490984138,0.1850122400252312
3.86,-0.225764694656737,-0.21179326264331658,-0.3002736498703395,-0.11788793811888171,0.1823857117514578
3.82,0.11524112678034998,0.1633928857406316,0.0692540803127298,0.2554483371840944,0.1861942568713646
3.78,-0.041128391584787226,-0.023630390680467815,-0.10940555333306143,0.06514419648935493,0.17454974982241636
3.74,-0.10553740089291617,-0.1158436016755709,-0.21201584792817466,-0.023938437433145617,0.18807741049502905
3.7,-0.1523831635603668,-0.1746417946298036,-0.2711804374676003,-0.07635406792946021,0.1948263695381401
3.66,-0.02624124452898328,-0.008090822215562163,-0.0816798493428671,0.07121574058286276,0.15289558992572985
3.62,-0.3328664865421225,-0.33952903689411046,-0.40852056830650496,-0.25636573786940076,0.1521548304371042
3.58,-0.23919274751405664,-0.23992713040115649,-0.32742999501982417,-0.1473690185945403,0.18006097642528388
3.54,-0.45017937941211184,-0.48692060607306764,-0.6033007675001891,-0.3982270912397704,0.20507367626041872
3.5,-0.22055007921924763,-0.2591244551809723,-0.43238343699548976,-0.15185908464631084,0.28052435234917894
3.46,-0.2662511117348561,-0.2941621790926814,-0.4790117400294773,-0.19091941087445818,0.2880923291550191
3.42,0.0025900125313506194,0.01791344030311343,-0.10174015635961668,0.0938944973955339,0.1956346537551506
3.38,-0.18889510065054485,-0.18587303687769757,-0.34277092361293376,-0.0742754472039189,0.26849547640901483
3.34,-0.1277581882000415,-0.10763334932862882,-0.2208414601420398,0.009745096535461448,0.23058655667750128
3.3,0.132739527362763,0.16240444990965333,0.07032194833692541,0.2744212296272514,0.204099281290326
3.26,-0.13793501164404084,-0.1133384363922646,-0.20095404809320006,-0.01198675171563781,0.18896729637756224
3.22,-0.21114421300269556,-0.21442654242632753,-0.3493927644970811,-0.12079289206117448,0.22859987243590663
3.18,-0.38403289698177484,-0.37272629683679626,-0.4763695248422073,-0.24910985445542175,0.22725967038678554
3.14,-0.1148802969934178,-0.14197946096299868,-0.22965500660350402,-0.05937229551199806,0.17028271109150594
3.1,0.10445697475414666,0.1281115359295175,0.005661360559479841,0.23206673362225952,0.2264053730627797
3.06,-0.03802844938291369,0.035296042732952844,-0.02983990971000787,0.11127223515682733,0.1411121448668352
3.02,-0.2867543543448847,-0.25409045947971876,-0.3979044089840624,-0.1608306906476521,0.23707371833641028
2.98,-0.22858519056279725,-0.19424593734587392,-0.3099572620227747,-0.1218388141153761,0.18811844790739857
2.94,-0.15110534645010798,-0.16888424183293954,-0.26862027129396043,-0.09008171281082747,0.17853855848313296
2.9,-0.0004433305550819658,-0.02474608792905504,-0.13011558332153536,0.05042637155825185,0.18054195487978722
2.86,-0.08547072359099207,-0.052242740051870046,-0.11091584696366523,-0.003937185500118968,0.10697866146354626
2.82,-0.22050353903779474,-0.1967805149176379,-0.3178333775210098,-0.09540607807883499,0.22242729944217482
2.78,-0.2534235557171059,-0.22911185371659826,-0.32198702485617253,-0.17496624149469858,0.14702078336147395
2.74,-0.31528068481812643,-0.3169714857813354,-0.3843721313904907,-0.2419762532124626,0.1423958781780281
2.7,-0.17313669548057356,-0.2257698380573804,-0.3304829722201884,-0.10766266090135213,0.22282031131883628
2.66,-0.31570647143866326,-0.3796234938896674,-0.4828891677193699,-0.3002473464921176,0.1826418212272523
2.62,-0.30667963425283107,-0.36310164765110514,-0.46214424503498225,-0.2744392518816762,0.18770499315330602
2.58,-0.0601145245520901,-0.08356282955344466,-0.2030626847831598,0.014658833067318997,0.2177215178504788
2.54,-0.14605674613236347,-0.20431700647003478,-0.31233656185305114,-0.11552973923943373,0.19680682261361743
2.5,0.02303145420043283,0.0795814212672486,-0.020045087351047982,0.16540585234230348,0.18545093969335147
2.46,-0.13163380095621707,-0.16090742223721335,-0.2612636069489368,-0.07481783197119869,0.18644577497773812
2.42,-0.1440450438893466,-0.14632059385584797,-0.2156450289945727,-0.09103306228176992,0.12461196671280277
2.38,-0.02179527179025846,0.007277846554669406,-0.08959546286098112,0.07915507540857063,0.16875053826955175
2.34,-0.2973297995168332,-0.30142054541868013,-0.3984396599110129,-0.20696353661143832,0.19147612329957456
2.3,-0.11700403318696195,-0.0633950792109205,-0.14837193163925805,0.004909343008028737,0.15328127464728677
2.26,-0.17006862704459003,-0.13148526419817672,-0.20693782600193586,-0.06322573979415594,0.14371208620777992
2.22,-0.11377630494114918,-0.11463261413795404,-0.19706955005942334,-0.043083612172563755,0.15398593788685958
2.18,-0.08250331419837377,-0.08860501743604703,-0.2904133854738538,0.01826678334767902,0.3086801688215328
